,base_market,quote_market,hedge_ratio,half_life
107,MATIC-USD,CELO-USD,0.4812677393886639,15.0
108,MATIC-USD,1INCH-USD,1.511863371191934,9.0
109,MATIC-USD,SUSHI-USD,0.38233515827631187,7.0
110,MATIC-USD,SNX-USD,0.24960408964420067,10.0
111,MATIC-USD,UNI-USD,0.03914171934704253,8.0
112,CRV-USD,DOT-USD,0.08448224392911777,8.0
113,CRV-USD,BTC-USD,1.225315000084942e-05,2.0
114,CRV-USD,1INCH-USD,1.412075071607784,5.0
115,CRV-USD,ENJ-USD,0.9460126316597931,12.0
116,CRV-USD,SUSHI-USD,0.35202646794387943,7.0
117,CRV-USD,XLM-USD,8.496015798634318,13.0
118,CRV-USD,EOS-USD,0.6621578332169965,16.0
119,CRV-USD,ATOM-USD,0.07718666545267273,11.0
120,DOT-USD,BTC-USD,0.00014331244664963797,2.0
121,DOT-USD,1INCH-USD,16.24592176647381,10.0
122,DOT-USD,ENJ-USD,11.022631108707955,14.0
123,DOT-USD,XLM-USD,99.78979308334843,12.0
124,DOT-USD,EOS-USD,7.771636613509453,17.0
125,DOT-USD,ATOM-USD,0.9081376997947936,9.0
126,BTC-USD,CELO-USD,34389.90945112492,4.0
127,BTC-USD,1INCH-USD,106465.08491527173,2.0
128,BTC-USD,ADA-USD,102509.92305783772,2.0
129,BTC-USD,ENJ-USD,72508.0658464578,2.0
130,BTC-USD,SNX-USD,17339.72538009302,3.0
131,BTC-USD,XLM-USD,647159.9997127635,3.0
132,BTC-USD,ATOM-USD,5952.434369182325,2.0
133,CELO-USD,1INCH-USD,2.830266755100525,19.0
134,CELO-USD,ENJ-USD,1.9227754238300718,24.0
135,CELO-USD,SUSHI-USD,0.6901382411921116,16.0
136,1INCH-USD,ENJ-USD,0.6626020917339304,11.0
137,1INCH-USD,SUSHI-USD,0.2468612496263012,6.0
138,1INCH-USD,UNI-USD,0.025645659143768113,6.0
139,1INCH-USD,XLM-USD,5.931167134427508,14.0
140,1INCH-USD,EOS-USD,0.4622026834006313,16.0
141,1INCH-USD,ATOM-USD,0.05417374911012254,11.0
142,ADA-USD,SNX-USD,0.1651723330572242,17.0
143,ADA-USD,ETH-USD,0.00014107619877321492,2.0
144,ENJ-USD,XLM-USD,8.801077074545134,9.0
145,ENJ-USD,EOS-USD,0.6841555814131829,14.0
146,ENJ-USD,ATOM-USD,0.07784141428399852,18.0
147,ENJ-USD,LTC-USD,0.011884118849350237,21.0
148,SUSHI-USD,UNI-USD,0.10090075801778581,3.0
149,SUSHI-USD,XLM-USD,21.628632875215693,14.0
150,SUSHI-USD,ATOM-USD,0.2011772819216904,9.0
151,SNX-USD,ETH-USD,0.0007963242468465798,2.0
152,UNI-USD,ETH-USD,0.005044058391475007,2.0
153,UNI-USD,XLM-USD,204.68090076975548,10.0
154,UNI-USD,ATOM-USD,1.9227888198883918,8.0
155,ETH-USD,XLM-USD,38189.75018022512,2.0
156,ETH-USD,ATOM-USD,354.8153096953152,1.0
157,XLM-USD,EOS-USD,0.07592866645102027,11.0
158,XLM-USD,ATOM-USD,0.00858928173760903,18.0
159,XLM-USD,LTC-USD,0.0013220273355604802,19.0
160,EOS-USD,ATOM-USD,0.11127491733072979,18.0
